Grapheme	Frequency	Codepoint	UnicodeName
 	5488	U+0020	SPACE
!	897	U+0021	EXCLAMATION MARK
3	26313	U+0033	DIGIT THREE
4	241	U+0034	DIGIT FOUR
5	5576	U+0035	DIGIT FIVE
7	14831	U+0037	DIGIT SEVEN
8	1646	U+0038	DIGIT EIGHT
a	176522	U+0061	LATIN SMALL LETTER A
b	29844	U+0062	LATIN SMALL LETTER B
c	7924	U+0063	LATIN SMALL LETTER C
C	9073	U+0043	LATIN CAPITAL LETTER C
d	24740	U+0064	LATIN SMALL LETTER D
e	56856	U+0065	LATIN SMALL LETTER E
E	15081	U+0045	LATIN CAPITAL LETTER E
f	6625	U+0066	LATIN SMALL LETTER F
g	20162	U+0067	LATIN SMALL LETTER G
G	152	U+0047	LATIN CAPITAL LETTER G
h	26379	U+0068	LATIN SMALL LETTER H
i	114900	U+0069	LATIN SMALL LETTER I
j	4599	U+006A	LATIN SMALL LETTER J
k	58113	U+006B	LATIN SMALL LETTER K
l	40282	U+006C	LATIN SMALL LETTER L
L	3601	U+004C	LATIN CAPITAL LETTER L
m	53163	U+006D	LATIN SMALL LETTER M
n	72638	U+006E	LATIN SMALL LETTER N
N	23193	U+004E	LATIN CAPITAL LETTER N
o	74008	U+006F	LATIN SMALL LETTER O
p	24725	U+0070	LATIN SMALL LETTER P
q	5816	U+0071	LATIN SMALL LETTER Q
r	39155	U+0072	LATIN SMALL LETTER R
s	30669	U+0073	LATIN SMALL LETTER S
S	8062	U+0053	LATIN CAPITAL LETTER S
t	53652	U+0074	LATIN SMALL LETTER T
T	3159	U+0054	LATIN CAPITAL LETTER T
u	82132	U+0075	LATIN SMALL LETTER U
v	5661	U+0076	LATIN SMALL LETTER V
w	28729	U+0077	LATIN SMALL LETTER W
x	7646	U+0078	LATIN SMALL LETTER X
X	2719	U+0058	LATIN CAPITAL LETTER X
y	26574	U+0079	LATIN SMALL LETTER Y
z	4755	U+007A	LATIN SMALL LETTER Z
Z	1308	U+005A	LATIN CAPITAL LETTER Z
.["\*]
.["\*]?.["\*]?~
.["\*]?.["\*]?.["\*]?\$
