matched_rules	Grapheme	Frequency	Codepoint	UnicodeName
1258	.["\*]?.["\*]?.["\*]?\$			
26865	.["\*]?.["\*]?~			
18151	.["\*]			
1213	Z	1308	U+005A	LATIN CAPITAL LETTER Z
4448	z	4755	U+007A	LATIN SMALL LETTER Z
22136	y	26574	U+0079	LATIN SMALL LETTER Y
2324	X	2719	U+0058	LATIN CAPITAL LETTER X
6849	x	7646	U+0078	LATIN SMALL LETTER X
21714	w	28729	U+0077	LATIN SMALL LETTER W
5341	v	5661	U+0076	LATIN SMALL LETTER V
80600	u	82132	U+0075	LATIN SMALL LETTER U
2829	T	3159	U+0054	LATIN CAPITAL LETTER T
49218	t	53652	U+0074	LATIN SMALL LETTER T
7860	S	8062	U+0053	LATIN CAPITAL LETTER S
29942	s	30669	U+0073	LATIN SMALL LETTER S
38476	r	39155	U+0072	LATIN SMALL LETTER R
4374	q	5816	U+0071	LATIN SMALL LETTER Q
22112	p	24725	U+0070	LATIN SMALL LETTER P
72210	o	74008	U+006F	LATIN SMALL LETTER O
21307	N	23193	U+004E	LATIN CAPITAL LETTER N
67472	n	72638	U+006E	LATIN SMALL LETTER N
49983	m	53163	U+006D	LATIN SMALL LETTER M
3211	L	3601	U+004C	LATIN CAPITAL LETTER L
39571	l	40282	U+006C	LATIN SMALL LETTER L
50162	k	58113	U+006B	LATIN SMALL LETTER K
4275	j	4599	U+006A	LATIN SMALL LETTER J
112723	i	114900	U+0069	LATIN SMALL LETTER I
19065	h	26379	U+0068	LATIN SMALL LETTER H
146	G	152	U+0047	LATIN CAPITAL LETTER G
17404	g	20162	U+0067	LATIN SMALL LETTER G
6355	f	6625	U+0066	LATIN SMALL LETTER F
14614	E	15081	U+0045	LATIN CAPITAL LETTER E
55867	e	56856	U+0065	LATIN SMALL LETTER E
21363	d	24740	U+0064	LATIN SMALL LETTER D
7594	C	9073	U+0043	LATIN CAPITAL LETTER C
6185	c	7924	U+0063	LATIN SMALL LETTER C
25913	b	29844	U+0062	LATIN SMALL LETTER B
173649	a	176522	U+0061	LATIN SMALL LETTER A
1497	8	1646	U+0038	DIGIT EIGHT
14344	7	14831	U+0037	DIGIT SEVEN
5408	5	5576	U+0035	DIGIT FIVE
221	4	241	U+0034	DIGIT FOUR
25839	3	26313	U+0033	DIGIT THREE
652	!	897	U+0021	EXCLAMATION MARK
5488	 	5488	U+0020	SPACE
