Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
.	-	.		-	1250	U+002D	HYPHEN-MINUS
.	–	.		-	15	U+2013	EN DASH
	'	.		'	1	U+0027	APOSTROPHE
	’	.		'	31	U+2019	RIGHT SINGLE QUOTATION MARK
	`	.		'	1	U+0060	GRAVE ACCENT
	a			a	18167	U+0061	LATIN SMALL LETTER A
^|-	A	.		A	1019	U+0041	LATIN CAPITAL LETTER A
	á			á	10	U+00E1	LATIN SMALL LETTER A WITH ACUTE
	à			à	8	U+00E0	LATIN SMALL LETTER A WITH GRAVE
	ä			ä	3	U+00E4	LATIN SMALL LETTER A WITH DIAERESIS
	b			b	4314	U+0062	LATIN SMALL LETTER B
^|-	B	.		B	1015	U+0042	LATIN CAPITAL LETTER B
	c			c	5522	U+0063	LATIN SMALL LETTER C
^|-	C	.		C	777	U+0043	LATIN CAPITAL LETTER C
	ç			ç	5	U+00E7	LATIN SMALL LETTER C WITH CEDILLA
	d			d	10104	U+0064	LATIN SMALL LETTER D
^|-	D	.		D	759	U+0044	LATIN CAPITAL LETTER D
	e			e	40812	U+0065	LATIN SMALL LETTER E
^|-	E	.		E	689	U+0045	LATIN CAPITAL LETTER E
	é			é	115	U+00E9	LATIN SMALL LETTER E WITH ACUTE
^|-	É	.		É	1	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE
	è			è	21	U+00E8	LATIN SMALL LETTER E WITH GRAVE
	ê			ê	7	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX
	ë			ë	164	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS
	f			f	2498	U+0066	LATIN SMALL LETTER F
^|-	F	.		F	393	U+0046	LATIN CAPITAL LETTER F
	g			g	8568	U+0067	LATIN SMALL LETTER G
^|-	G	.		G	623	U+0047	LATIN CAPITAL LETTER G
	h			h	5068	U+0068	LATIN SMALL LETTER H
^|-	H	.		H	650	U+0048	LATIN CAPITAL LETTER H
	i			i	17813	U+0069	LATIN SMALL LETTER I
^|-	I	.		I	514	U+0049	LATIN CAPITAL LETTER I
	í			í	4	U+00ED	LATIN SMALL LETTER I WITH ACUTE
	ì			ì	1	U+00EC	LATIN SMALL LETTER I WITH GRAVE
	ï			ï	148	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS
	j			j	2880	U+006A	LATIN SMALL LETTER J
^|-	J	.		J	297	U+004A	LATIN CAPITAL LETTER J
	k			k	6325	U+006B	LATIN SMALL LETTER K
^|-	K	.		K	522	U+004B	LATIN CAPITAL LETTER K
	l			l	11364	U+006C	LATIN SMALL LETTER L
^|-	L	.		L	582	U+004C	LATIN CAPITAL LETTER L
	m			m	5769	U+006D	LATIN SMALL LETTER M
^|-	M	.		M	862	U+004D	LATIN CAPITAL LETTER M
	n			n	20635	U+006E	LATIN SMALL LETTER N
^|-	N	.		N	584	U+004E	LATIN CAPITAL LETTER N
	o			o	15177	U+006F	LATIN SMALL LETTER O
^|-	O	.		O	549	U+004F	LATIN CAPITAL LETTER O
	ó			ó	18	U+00F3	LATIN SMALL LETTER O WITH ACUTE
	ö			ö	29	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS
	p			p	5154	U+0070	LATIN SMALL LETTER P
^|-	P	.		P	690	U+0050	LATIN CAPITAL LETTER P
	q			q	104	U+0071	LATIN SMALL LETTER Q
^|-	Q	.		Q	27	U+0051	LATIN CAPITAL LETTER Q
	r			r	18965	U+0072	LATIN SMALL LETTER R
^|-	R	.		R	703	U+0052	LATIN CAPITAL LETTER R
	s			s	13510	U+0073	LATIN SMALL LETTER S
^|-	S	.		S	1214	U+0053	LATIN CAPITAL LETTER S
	t			t	15904	U+0074	LATIN SMALL LETTER T
^|-	T	.		T	626	U+0054	LATIN CAPITAL LETTER T
	u			u	6530	U+0075	LATIN SMALL LETTER U
^|-	U	.		U	184	U+0055	LATIN CAPITAL LETTER U
	ú			ú	7	U+00FA	LATIN SMALL LETTER U WITH ACUTE
	ü			ü	24	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
	v			v	4617	U+0076	LATIN SMALL LETTER V
^|-	V	.		V	659	U+0056	LATIN CAPITAL LETTER V
	w			w	2738	U+0077	LATIN SMALL LETTER W
^|-	W	.		W	536	U+0057	LATIN CAPITAL LETTER W
	x			x	345	U+0078	LATIN SMALL LETTER X
^|-	X	.		X	47	U+0058	LATIN CAPITAL LETTER X
	y			y	823	U+0079	LATIN SMALL LETTER Y
^|-	Y	.		Y	57	U+0059	LATIN CAPITAL LETTER Y
	z			z	1827	U+007A	LATIN SMALL LETTER Z
^|-	Z	.		Z	251	U+005A	LATIN CAPITAL LETTER Z
